,id,location,region,property_type,price,area_cent,price_per_cent,sea_distance_band_fine,distance_to_nearest_beach_km,nearest_beach_name,source_url,latitude,longitude
0,https://www.facebook.com/groups/215499289237549/posts/1774844606636335/?_rdr,Vettuthura,North_of_Puthenthope,plot,34775000,107,325000,0.5-1 km,0.96,Vettuthura Beach,https://www.facebook.com/groups/215499289237549/posts/1774844606636335/?_rdr,8.5865,76.8257
1,https://www.olx.in/en-in/item/lands-plots-c1729-for-sale-10-sq-yd-in-kadinamkulam-thiruvananthapuram-iid-1811415068,Kadinamkulam,North_of_Puthenthope,plot,2500000,10,250000,0.5-1 km,0.93,Kadinamkulam Shore,https://www.olx.in/en-in/item/lands-plots-c1729-for-sale-10-sq-yd-in-kadinamkulam-thiruvananthapuram-iid-1811415068,8.6029,76.8179
2,https://www.99acres.com/residential-land-plot-for-sale-in-kadinamkulam-trivandrum-1210-sq-yard-spid-T82196012,Kadinamkulam,North_of_Puthenthope,plot,12500000,25,500000,0.5-1 km,0.93,Kadinamkulam Shore,https://www.99acres.com/residential-land-plot-for-sale-in-kadinamkulam-trivandrum-1210-sq-yard-spid-T82196012,8.6029,76.8179
3,https://www.keralarealestate.com/details-50cents-land-for-sale-in-kadinamkulamtrivandrum,Kadinamkulam,North_of_Puthenthope,plot,22500000,50,450000,0.5-1 km,0.93,Kadinamkulam Shore,https://www.keralarealestate.com/details-50cents-land-for-sale-in-kadinamkulamtrivandrum,8.6029,76.8179
4,https://www.realestateindia.com/property-detail/residential-plot-for-sale-in-kadinamkulam-thiruvananthapuram-13-cent-52-lac-1285955.htm,Kadinamkulam,North_of_Puthenthope,plot,5200000,13,400000,0.5-1 km,0.93,Kadinamkulam Shore,https://www.realestateindia.com/property-detail/residential-plot-for-sale-in-kadinamkulam-thiruvananthapuram-13-cent-52-lac-1285955.htm,8.6029,76.8179
5,https://divinelands.com/property/40-cent-lake-front-land-for-sale-in-kadinamkulam-trivandrum/,Kadinamkulam,North_of_Puthenthope,plot,11000000,40,275000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/40-cent-lake-front-land-for-sale-in-kadinamkulam-trivandrum/,8.6029,76.8179
6,https://www.99acres.com/residential-land-plot-for-sale-in-perumathura-trivandrum-0-sq-yard-spid-J83193952,Perumathura,North_of_Puthenthope,plot,35000000,200,175000,0.5-1 km,0.58,Perumathura Beach,https://www.99acres.com/residential-land-plot-for-sale-in-perumathura-trivandrum-0-sq-yard-spid-J83193952,8.6252,76.8
7,https://divinelands.com/property/1-37-acre-lake-front-land-for-sale-in-perumathura-trivandrum/,Perumathura,North_of_Puthenthope,plot,51400000,137,375182.48,0.5-1 km,0.58,Perumathura Beach,https://divinelands.com/property/1-37-acre-lake-front-land-for-sale-in-perumathura-trivandrum/,8.6252,76.8
8,https://divinelands.com/property/5-cent-residential-land-for-sale-in-perumathura-trivandrum/,Perumathura,North_of_Puthenthope,plot,1875000,5,375000,0.5-1 km,0.58,Perumathura Beach,https://divinelands.com/property/5-cent-residential-land-for-sale-in-perumathura-trivandrum/,8.6252,76.8
9,https://divinelands.com/property/80-cent-lake-front-land-for-sale-in-kadinamkulam-trivandrum/,Kadinamkulam,North_of_Puthenthope,plot,18000000,80,225000,0.5-1 km,0.93,Kadinamkulam Shore,https://divinelands.com/property/80-cent-lake-front-land-for-sale-in-kadinamkulam-trivandrum/,8.6029,76.8179
